id,order_code,product_name,factory_code,order_qt,order_date,comments,order_status
1,VIL21062104,OT62-ELQ6216A2A,VIL,35000.0,10.01.2020,,0
2,BUF21096105,"OT096 0,20 ALU/C ",BUF,28000.0,,,0
3,BIL21096106,"OT96 0,20  W/G",BIL,200.0,13.01.2020,,0
4,BIL21959107,"0,17x959x901 2G/G",BIL,20000.0,13.01.2020,,0
5,BIL21959108,"0,17x959x901 2,8/2,8 TH550",BIL,14500.0,14.01.2020,,0
6,BIL21894109,"0,17x894x795 W/С №88",BIL,40000.0,14.01.2020,,0
7,BIL21860110,"0,18x860x873 W/C №87",BIL,5000.0,14.01.2020,,0
8,BIL21894111,"0,17x894x795 W/С №13",BIL,14000.0,15.01.2021,,0
9,VIL21062112,OT62-ELQ6216A2A,VIL,43000.0,17.01.2021,,0
10,DEV21070113,OT070-ELQ7033A2A  TH580,DEV,32000.0,17.01.2021,,0
11,BUF21838114,"0,17x838x942 ALU/С",BUF,15000.0,17.01.2021,,0
12,BUF21796115,"0,16x796x925 G/C ",BUF,11000.0,17.01.2021,,0
13,BUF21099116,"OT99-921XQ 0,20 A55B05 ",BUF,37000.0,17.01.2021,,0
14,BUF21942117,"0,16x942x790 ALU/С",BUF,9000.0,18.01.2021,,0
15,BIL21913118,"0,14x913x766 2,0/2,0 TS480",BIL,40000.0,18.01.2021,,0
16,BUF21838119,"0,17x838x942 ALU/С",BUF,9000.0,19.01.2021,,0
17,BUF21070120,OT070-ELQ7033A2A  TH580,BUF,26000.0,19.01.2020,,0
18,BUF21070121,OT070-ELQ7013A9A ,BUF,10000.0,20.01.2020,,0
19,BUF21942122,"0,16x942x790 ALU/С",BUF,20000.0,20.01.2020,,0
20,WEI21153123,OT153-ELQ1542A3A HBI,WEI,7000.0,20.01.2020,,0
21,ZNO21153124,OT153-ELQ1554A0A,ZNO,12000.0,20.01.2020,,0
22,DEV21153125,OT153-EPQ1555A2A,DEV,2200.0,20.01.2020,pallets should be marked!,0
23,VIL21062126,OT62-ELQ6216A2A,VIL,20000.0,20.01.2020,,0
24,ZNO21153127,OT153-ELQ0561A2A HBI,ZNO,16000.0,24.01.2021,,0
25,ZNO21070128,OT070-ELQ7013A11A,ZNO,10000.0,24.01.2021,,0
26,ZNO21070129,OT070-ELQ7013A9A ,ZNO,20000.0,24.01.2021,,0
27,BUF21942130,"0,16x942x790 ALU/С",BUF,30000.0,24.01.2021,,0
28,BIL21942131,"0,16x942x790 BLANK",BIL,10000.0,24.01.2021,,0
29,BUF21838132,"0,17x838x942 ALU/С",BUF,28000.0,24.01.2021,,0
30,BUF21099134,"OT99-921XQ 0,20 A55B05 ",BUF,24000.0,24.01.2021,,0
31,BIL21913135,"0,14x913x766 BLANK",BIL,30000.0,24.01.2021,,0
32,BUF21838133,"0,17x838x942 ALU/С",BUF,20000.0,24.01.2021,,0
33,WEI21153136,OT153-ELQ1542A3A HBI,WEI,28000.0,26.01.2021,,0
34,VIL21062137,OT153-ELQ0561A2A HBI,VIL,30000.0,26.01.2021,,0
35,DEV21070138,OT070-ELQ7033A2A  TH580,DEV,40000.0,26.01.2021,,0
36,BIL21959139,"0,17x959x901 G/C",BIL,20000.0,26.01.2021,,0
37,BIL21959140,"0,17x959x901 2W/C",BIL,7500.0,26.01.2021,,0
38,BUF21838141,"0,17x838x942 ALU/С",BUF,14000.0,27.01.2021,,0
39,BIL21838142,"0,17x838x942 BLANK",BIL,25000.0,27.01.2021,,0
40,BUF21877143,"0,18x877x1066 W/G",BUF,15000.0,28.01.2021,,0
41,BIL21894144,"0,17x894x795 W/С №13",BIL,19000.0,28.01.2021,,0
42,BIL21894145,"0,17x894x944  ТЕСТ",BIL,1600.0,28.01.2021,,0
43,BUF21838146,"0,17x838x942 ALU/С",BUF,20000.0,01.02.2021,,0
44,BIL21908147,"0,20x908x1112 BLANK",BIL,20000.0,01.02.2021,,0
45,DEV21099148,OT99-ELQ9999A0A_N/A,DEV,15000.0,01.02.2021,,0
46,BUF21942149,"0,16x942x790 ALU/С",BUF,40000.0,01.02.2021,,0
47,BIL21942150,"0,16x942x790 BLANK",BIL,20000.0,01.02.2021,,0
48,BIL21959151,"0,17x959x901 BLANK",BIL,20000.0,01.02.2021,,0
49,BIL21959152,"0,17x959x901 2G/G",BIL,10000.0,01.02.2021,,0
50,BUF21070153,OT070-ELQ7013A9A ,BUF,30000.0,02.02.2021,,0
51,DEV21070154,OT070-ELQ7033A2A  TH580,DEV,30000.0,02.02.2021,,0
52,ROY21080155,OT80-ELQ8008A2A,ROY,13000.0,03.02.2021,,0
53,ZNO21153156,OT153-ELQ1554A0A,ZNO,12000.0,03.02.2021,,0
54,ZNO21153157,OT153-ELQ0561A2A HBI,ZNO,5500.0,03.02.2021,,0
55,BUF21942158,"0,16x942x790 ALU/С",BUF,19000.0,03.02.2021,,0
56,MOE21062159,OT62-ELQ6216A2A,MOE,14000.0,04.02.2021,,0
57,MOE21062160,OT62-ELQ6215A6A,MOE,11000.0,04.02.2021,,0
58,BUF21838161,"0,17x838x942 ALU/С",BUF,38000.0,04.02.2021,,0
59,BIL21838162,"0,17x838x942 BLANK",BIL,19000.0,04.02.2021,,0
60,BUF21814163,"0,14x814x925 G/C",BUF,20000.0,04.02.2021,,0
61,BIL21913164,"0,14x913x766 BLANK",BIL,40000.0,04.02.2021,,0
62,BUF21850165,"0,15x850x925 G/C",BUF,50000.0,08.02.2021,,0
63,BUF21814166,"0,14x814x925 G/C",BUF,10000.0,08.02.2021,,0
64,BUF21096167,"OT096 0,20 ALU/C HBI",BUF,30000.0,09.02.2021,,0
65,MOE21062168,OT62-ELQ6216A2A,MOE,11000.0,09.02.2021,,0
66,BIL21850169,"0,15x850x925 2,0/2,8 TS550-TCLR",BIL,11000.0,09.02.2021,,0
67,CFT21816170,"0,27x816x925 2,8/5,6 TH435",CFT,10000.0,10.02.2021,,0
68,BUF21942171,"0,16x942x790 ALU/С",BUF,9000.0,10.02.2021,,0
69,DAG21070172,OT070-ELQ7013A9A ,DAG,20000.0,11.02.2021,,0
70,DEV21070173,OT070-ELQ7033A2A  TH580,DEV,10000.0,11.02.2021,,0
71,DEV21070174,OT070-ELQ7022A6A ,DEV,14000.0,11.02.2021,,0
72,BIL21838175,"0,17x838x942 BLANK",BIL,28000.0,11.02.2021,,0
73,BIL21860176,"0,18x860x873 W/C",BIL,24000.0,11.02.2021,,0
74,ZNO21153177,OT153-ELQ1542A3A HBI,ZNO,10000.0,11.02.2021,,0
75,ZNO21153178,OT153-ELQ0561A2A HBI,ZNO,18000.0,12.02.2021,,0
76,BIL21959179,"0,17x959x901 BLANK",BIL,20000.0,12.02.2021,,0
77,BUF21099180,"OT99-921XQ 0,20 A55B05 ",BUF,18000.0,15.02.2021,,0
78,BUF21096181,"OT096 0,20 ALU/C HBI",BUF,35000.0,15.02.2021,,0
79,BUF21796182,"0,14x796x925 G/C",BUF,28000.0,15.02.2021,,0
80,DEV21099183,OT99-ELQ9991A0A,DEV,18700.0,16.02.2021,,0
81,DEV21070184,OT070-ELQ7033A2A TH550,DEV,35000.0,16.02.2021,,0
82,DEV21070185,OT070-ELQ7033A2A TH550,DEV,35000.0,16.02.2021,,0
