product_id,product_name,nomenclature_1c,end_product,1c_code,cutting_format,cutting_format_1c,cutting_code_1c,cut_type,pallet,qt_per_parcel,specification,varnishing_type,varnishing_1,varnishing_2,varnishing_3,varnishing_4,varnishing_type_1c,varnishing_code_1c,sap_code,coil,ic_codes_for_coils,for_barcode
1,OT070-ELQ7013A11A,OT070-ELQ7013A11A-15VK05-993DE-170TH580S2828-HBI-90300,OT070-ELQ7013A11A,fff009956,"0,17x922x868 2,8/2,8 TH580",M-922-868-170TH580S2828-HBI,fff009746,СКРОЛЛ,884х850,1500.0,70-1 A,BPANI W/C 15V,PL1019-34,DE4488-3LV,,,L-922-868-170TH580S2828-HBI-15VK05,fff009957,48015773,C-922----170TH580S2828- HBI,fff009747,0.17-922-868-TH580-S2828-HBI
2,OT070-ELQ7013A5A,OT070-ELQ7013A5A-15VK05-993DE-170TH580S2828-HBI-88160,OT070-ELQ7013A5A,fff010614,"0,17x922x868 2,8/2,8 TH580",M-922-868-170TH580S2828-HBI,fff009746,СКРОЛЛ,884х850,1500.0,№18,BPANI W/C 15V,PL1019-34,DE4488-2HV,,,L-922-868-170TH580S2828-HBI-15VK05,fff009957, ,C-922----170TH580S2828- HBI,fff009747,0.17-922-868-TH580-S2828-HBI
3,OT070-ELQ7013A9A ,OT070-ELQ7013A9A-07CK05-993DE-170TH580S2828-HBI-90300,OT070-ELQ7013A9A ,fff010217,"0,17x922x868 2,8/2,8 TH580",M-922-868-170TH580S2828-HBI,fff009746,СКРОЛЛ,884х850,1500.0,70-3 A,G/C,PL1019-34,816361,,,L-922-868-170TH580S2828-HBI-07CK05,fff009970,48015754,C-922----170TH580S2828- HBI,fff009747,0.17-922-868-TH580-S2828-HBI
4,OT070-ELQ7022A6A ,OT070-ELQ7022A6A-W14K05-993DE-170TH580S2828-HBI-90300,OT070-ELQ7022A6A ,fff009846,"0,17x922x868 2,8/2,8 TH580",M-922-868-170TH580S2828-HBI,fff009746,СКРОЛЛ,884х850,1500.0,70-5 A,2W/C,PL1019-34,818062,818062,,L-922-868-170TH580S2828-HBI-W14K05,fff009847,48015775,C-922----170TH580S2828- HBI,fff009747,0.17-922-868-TH580-S2828-HBI
5,OT070-ELQ7022A7A ,OT070-ELQ7022A7A-26EK05-993DE-170TH580S5628-USK-90300,OT070-ELQ7022A7A ,fff010253,"0,17x922x868 5,6/2,8 TH580",M-922-868-170TH580S5628-USK,fff009165,СКРОЛЛ,884х850,1500.0,№35,BPANI W/C 26E,PL1019-34,16S61EG,16S61EG,DE5449-5,L-922-868-170TH580S5628-USK-26EK05,fff010254,48015776,C-922---170TH580S5628-USK,fff008630,0.17-922-868-TH580-S5628-USK
6,OT070-ELQ7033A2A TH550,OT070-ELQ7033A2A-08CB05-993DE-170TH550F2828-HBI-90300,OT070-ELQ7033A2A TH550,fff010926,"0,17x922x868 2,8/2,8 TH550",M-922-868-170TH550F2828-HBI,fff009814,СКРОЛЛ,884х850,1500.0,70-2 B,G/G,816314,816361,,,L-922-868-170TH550F2828-HBI-08CB05,fff010770,48015778,C-922---170TH550F2828-HBI,fff009813,0.17-922-868-TH550-S2828-HBI
7,OT070-ELQ7033A2A  TH580,OT070-ELQ7033A2A-08CB05-993DE-170TH580S2828-HBI-90300,OT070-ELQ7033A2A  TH580,fff009749,"0,17x922x868 2,8/2,8 TH580",M-922-868-170TH580S2828-HBI,fff009746,СКРОЛЛ,884х850,1500.0,70-2 A,G/G,816314,816361,,,L-922-868-170TH580S2828-HBI-08CB05,fff009748,48015778,C-922----170TH580S2828- HBI,fff009747,0.17-922-868-TH580-S2828-HBI
8,OT070-ELQ7040A0A,OT070-ELQ7040A0A-А55K05-993DE-170TH580S2828-HBI-90300,OT070-ELQ7040A0A,fff010554,"0,17x922x868 2,8/2,8 TH580",M-922-868-170TH580S2828-HBI,fff009746,СКРОЛЛ,884х850,1500.0,№81,ALU/C,PL1019-34,28S30WB-1,,,L-922-868-170TH580S2828-HBI-A55K05,fff010553,48016765,C-922----170TH580S2828- HBI,fff009747,0.17-922-868-TH580-S2828-HBI
9,"OT096 0,20 ALU/C HBI",OT096-A07K05-Argo-200TH550S2828-HBI-39000,"OT096 0,20 ALU/C HBI",fff010616,"0,20x808x908 2,8/2,8 TH550",M-808-908-200TH550S2828-HBI,fff010618,СКРОЛЛ,900х771,1600.0,96-1,ALU/C,PL1019-34,28S30WB-1,,,L-808-908-200TH550S2828-HBI-A07K05,fff010617,48012502,С-808---200TH550S2828-HBI,fff010619,0.20-808-908-TH550-S2828-HBI
10,OT153-ELQ0561A2A HBI,OT153-ELQ0561A2A-W18B55-727LW-270TH435S2828-HBI-12800,OT153-ELQ0561A2A HBI,fff010191,"0,27x950x876 2,8/2,8 TH435",M-950-876-270TH435S2828-HBI,fff010185,СКРОЛЛ,920х935,1100.0,"153-2
",2 W/G,PL1014-59,818062,818062,,L-950-876-270TH435S2828-HBI-W18B55,fff010186,48003111,C-950---270TH435S2828-HBI,fff010184,0.27-950-876-TH435-S2828-HBI
