parcel_id,fk_order_id,№ in order,parcel_status,parcel_created_date,qt_in_parcel,coil_name,parcel_name
1,BIL248211499,1,0,2024-12-07,1600.0,,
2,BIL248211499,2,0,2024-12-07,1600.0,,
3,BIL248211499,3,0,2024-12-08,1600.0,,
4,BIL248211499,4,0,2024-12-08,1600.0,,
5,BIL248211499,5,0,2024-12-09,1600.0,,
6,BIL248211499,6,0,2024-12-11,1600.0,,
7,BIL248211499,7,0,2024-12-11,1600.0,,
8,BIL248211499,8,0,2024-12-11,1600.0,,
9,BIL248211499,9,0,2024-12-14,1600.0,,
10,BIL248211499,10,0,2024-12-14,1600.0,,
11,BIL248211499,11,0,2024-12-15,1600.0,,
12,BIL248211499,12,0,2024-12-16,1600.0,,
13,BIL248211499,13,0,2024-12-17,1600.0,,
14,BIL248211499,14,0,2024-12-19,1600.0,,
15,BIL248211499,15,0,2024-12-19,1600.0,,
16,BIL248211499,16,0,2024-12-19,1000.0,,
17,BIL249221114,1,0,2024-12-01,1500.0,,
18,BIL249221114,2,0,2024-12-01,0.0,,
19,DEV240701113,1,0,2024-12-01,1500.0,,
20,DEV240701113,2,0,2024-12-02,1500.0,,
21,DEV240701113,3,0,2024-12-03,1500.0,,
22,DEV240701113,4,0,2024-12-05,1500.0,,
23,DEV240701113,5,0,2024-12-06,1500.0,,
24,DEV240701113,6,0,2024-12-06,1500.0,,
25,DEV240701113,7,0,2024-12-09,1500.0,,
26,DEV240701113,8,0,2024-12-10,1500.0,,
27,DEV240701113,9,0,2024-12-11,1500.0,,
28,DEV240701113,10,0,2024-12-11,1500.0,,
29,DEV240701113,11,0,2024-12-14,1500.0,,
30,DEV240701113,12,0,2024-12-14,1500.0,,
31,DEV240701113,13,0,2024-12-14,1500.0,,
32,DEV240701113,14,0,2024-12-15,1500.0,,
33,DEV240701113,15,0,2024-12-15,1500.0,,
34,DEV240701113,16,0,2024-12-17,1500.0,,
35,DEV240701113,17,0,2024-12-19,1500.0,,
36,DEV240701113,18,0,2024-12-20,1500.0,,
37,DEV240701113,19,0,2024-12-21,1500.0,,
38,DEV240701113,20,0,2024-12-21,0.0,,
39,DEV240991679,1,0,2024-11-10,1500.0,,
40,DEV240991679,2,0,2024-11-13,1500.0,,
41,DEV240991679,3,0,2024-11-14,1500.0,,
42,DEV240991679,4,0,2024-11-14,1500.0,,
43,DEV240991679,5,0,2024-11-14,1500.0,,
44,DEV240991679,6,0,2024-11-15,1500.0,,
45,DEV240991679,7,0,2024-11-17,1000.0,,
46,BIL248211612,1,0,2024-11-09,1600.0,,
47,BIL248211612,2,0,2024-11-09,1600.0,,
48,BIL248211612,3,0,2024-11-09,1600.0,,
49,BIL248211612,4,0,2024-11-11,1600.0,,
50,BIL248211612,5,0,2024-11-13,1600.0,,
51,BIL248211612,6,0,2024-11-13,1600.0,,
52,BIL248211612,7,0,2024-11-14,1600.0,,
53,BIL248211612,8,0,2024-11-16,1600.0,,
54,BIL248211612,9,0,2024-11-18,1600.0,,
55,BIL248211612,10,0,2024-11-18,1600.0,,
56,BIL248211612,11,0,2024-11-19,1600.0,,
57,BIL248211612,12,0,2024-11-19,1600.0,,
58,BIL248211612,13,0,2024-11-20,1600.0,,
59,BIL248211612,14,0,2024-11-20,1600.0,,
60,BIL248211612,15,0,2024-11-21,1600.0,,
61,BIL248211612,16,0,2024-11-22,1600.0,,
62,BIL248211612,17,0,2024-11-22,1600.0,,
63,BIL248211612,18,0,2024-11-23,1600.0,,
64,BIL248211612,19,0,2024-11-24,200.0,,
65,BUF240961611,1,0,2024-11-09,1600.0,,
66,BUF240961611,2,0,2024-11-11,1600.0,,
67,BUF240961611,3,0,2024-11-12,1600.0,,
68,BUF240961611,4,0,2024-11-13,1600.0,,
69,BUF240961611,5,0,2024-11-13,1600.0,,
70,BUF240961611,6,0,2024-11-13,1600.0,,
71,BUF240961611,7,0,2024-11-13,1600.0,,
72,BUF240961611,8,0,2024-11-13,1600.0,,
73,BUF240961611,9,0,2024-11-14,1600.0,,
74,BUF240961611,10,0,2024-11-15,1600.0,,
75,BUF240961611,11,0,2024-11-17,1600.0,,
76,BUF240961611,12,0,2024-11-17,1600.0,,
77,BUF240961611,13,0,2024-11-17,1600.0,,
78,BUF240961611,14,0,2024-11-20,1600.0,,
79,BUF240961611,15,0,2024-11-20,1600.0,,
80,BUF240961611,16,0,2024-11-20,1000.0,,
81,BUF240961610,1,0,2024-11-09,1600.0,,
82,BUF240961610,2,0,2024-11-11,1600.0,,
83,BUF240961610,3,0,2024-11-12,1600.0,,
84,BUF240961610,4,0,2024-11-14,1600.0,,
85,BUF240961610,5,0,2024-11-16,1600.0,,
86,BUF240961610,6,0,2024-11-16,1600.0,,
87,BUF240961610,7,0,2024-11-17,1600.0,,
88,BUF240961610,8,0,2024-11-18,1600.0,,
89,BUF240961610,9,0,2024-11-18,1600.0,,
90,BUF240961610,10,0,2024-11-18,1600.0,,
91,BUF240961610,11,0,2024-11-18,1600.0,,
92,BUF240961610,12,0,2024-11-19,1600.0,,
