fk_parcel_id,varnish_type,run_number,varnish_amount_kg,solvent_amount_kg,run_status,run_date
17,PL1019-34,1,691,336,1,2024-12-01
17,816361,2,649,337,1,2024-12-02
18,PL1019-34,1,517,375,1,2024-12-01
18,816361,2,28,171,1,2024-12-02
19,816314,1,1179,235,1,2024-12-01
19,816361,2,889,481,1,2024-12-04
20,816314,1,1118,110,1,2024-12-02
20,816361,2,390,97,1,2024-12-04
21,816314,1,272,84,1,2024-12-03
21,816361,2,565,332,1,2024-12-05
22,816314,1,292,169,1,2024-12-05
22,816361,2,259,171,1,2024-12-06
23,816314,1,1142,309,1,2024-12-06
23,816361,2,504,454,1,2024-12-07
24,816314,1,1259,74,1,2024-12-06
24,816361,2,173,93,1,2024-12-07
25,816314,1,1022,289,1,2024-12-09
25,816361,2,1199,160,1,2024-12-10
26,816314,1,916,220,1,2024-12-10
26,816361,2,1075,147,1,2024-12-11
27,816314,1,923,217,1,2024-12-11
27,816361,2,1327,147,1,2024-12-12
28,816314,1,614,319,1,2024-12-11
28,816361,2,336,315,1,2024-12-14
29,816314,1,71,494,1,2024-12-14
29,816361,2,1260,67,1,2024-12-15
30,816314,1,462,375,1,2024-12-14
30,816361,2,736,150,1,2024-12-15
31,816314,1,800,445,1,2024-12-14
31,816361,2,907,414,1,2024-12-15
32,816314,1,1154,67,1,2024-12-15
32,816361,2,1418,325,1,2024-12-17
33,816314,1,46,61,1,2024-12-15
33,816361,2,132,193,1,2024-12-17
34,816314,1,340,476,1,2024-12-17
34,816361,2,501,349,1,2024-12-18
35,816314,1,867,398,1,2024-12-19
35,816361,2,852,104,1,2024-12-22
36,816314,1,1418,96,1,2024-12-20
36,816361,2,536,252,1,2024-12-21
37,816314,1,1227,110,1,2024-12-21
37,816361,2,194,106,1,2024-12-23
38,816314,1,1355,487,1,2024-12-21
38,816361,2,299,272,1,2024-12-24
39,PL1019-34,1,1084,468,1,2024-11-10
40,PL1019-34,1,1125,286,1,2024-11-13
41,PL1019-34,1,63,205,1,2024-11-14
42,PL1019-34,1,901,168,1,2024-11-14
43,PL1019-34,1,616,149,1,2024-11-14
44,PL1019-34,1,418,160,1,2024-11-15
45,PL1019-34,1,185,295,1,2024-11-17
65,28S30WB-1,1,986,38,1,2024-11-09
65,PL1019-34,2,1369,46,1,2024-11-12
66,28S30WB-1,1,100,437,1,2024-11-11
66,PL1019-34,2,689,112,1,2024-11-13
67,28S30WB-1,1,707,343,1,2024-11-12
67,PL1019-34,2,439,489,1,2024-11-13
68,28S30WB-1,1,1347,63,1,2024-11-13
68,PL1019-34,2,1306,391,1,2024-11-15
69,28S30WB-1,1,255,437,1,2024-11-13
69,PL1019-34,2,475,23,1,2024-11-14
70,28S30WB-1,1,166,231,1,2024-11-13
70,PL1019-34,2,466,83,1,2024-11-14
71,28S30WB-1,1,585,212,1,2024-11-13
71,PL1019-34,2,618,423,1,2024-11-16
72,28S30WB-1,1,704,25,1,2024-11-13
72,PL1019-34,2,238,422,1,2024-11-14
73,28S30WB-1,1,479,396,1,2024-11-14
73,PL1019-34,2,984,330,1,2024-11-16
74,28S30WB-1,1,404,448,1,2024-11-15
74,PL1019-34,2,1285,462,1,2024-11-18
75,28S30WB-1,1,750,224,1,2024-11-17
75,PL1019-34,2,201,214,1,2024-11-18
76,28S30WB-1,1,595,189,1,2024-11-17
76,PL1019-34,2,1175,425,1,2024-11-19
77,28S30WB-1,1,252,44,1,2024-11-17
77,PL1019-34,2,892,51,1,2024-11-18
78,28S30WB-1,1,571,33,1,2024-11-20
78,PL1019-34,2,528,188,1,2024-11-21
79,28S30WB-1,1,826,453,1,2024-11-20
79,PL1019-34,2,66,56,1,2024-11-21
80,28S30WB-1,1,665,131,1,2024-11-20
80,PL1019-34,2,683,310,1,2024-11-22
81,28S30WB-1,1,901,245,1,2024-11-09
81,PL1019-34,2,131,235,1,2024-11-11
82,28S30WB-1,1,1072,420,1,2024-11-11
82,PL1019-34,2,1448,325,1,2024-11-14
83,28S30WB-1,1,154,181,1,2024-11-12
83,PL1019-34,2,978,202,1,2024-11-13
84,28S30WB-1,1,613,393,1,2024-11-14
84,PL1019-34,2,1420,104,1,2024-11-15
85,28S30WB-1,1,81,346,1,2024-11-16
85,PL1019-34,2,559,473,1,2024-11-17
86,28S30WB-1,1,1282,99,1,2024-11-16
86,PL1019-34,2,708,448,1,2024-11-19
87,28S30WB-1,1,1161,27,1,2024-11-17
87,PL1019-34,2,1284,7,1,2024-11-18
88,28S30WB-1,1,403,37,1,2024-11-18
88,PL1019-34,2,648,99,1,2024-11-19
89,28S30WB-1,1,929,79,1,2024-11-18
89,PL1019-34,2,1351,151,1,2024-11-21
90,28S30WB-1,1,570,275,1,2024-11-18
90,PL1019-34,2,1477,369,1,2024-11-19
91,28S30WB-1,1,972,304,1,2024-11-18
91,PL1019-34,2,1385,63,1,2024-11-20
92,28S30WB-1,1,628,223,1,2024-11-19
