order_code;order_date;product_name;calculated_cut_sheets;comments;used_coil;needed_or_used_for_order;nomenclature_1c;;;;;;
21070101;09.01.2020;OT070-ELQ7013A9A ;21 000;;;0;;;;;;;
21070102;09.01.2020;OT070-ELQ7022A6A ;12 000;;;0;;;;;;;
21070103;09.01.2020;OT070-ELQ7033A2A  TH580;37 000;;;0;;;;;;;
VIL21062104;10.01.2020;OT62-ELQ6216A2A;35 000;;;0;;;;;;;
BUF21096105;;OT096 0,20 ALU/C ;28 000;;;0;;;;;;;
BIL21096106;13.01.2020;OT96 0,20  W/G;200;;;0;;;;;;;
BIL21959107;13.01.2020;0,17x959x901 2G/G;20 000;;;0;;;;;;;
BIL21959108;14.01.2020;0,17x959x901 2,8/2,8 TH550;14 500;;;0;;;;;;;
BIL21894109;14.01.2020;0,17x894x795 W/С №88;40 000;;;0;;;;;;;
BIL21860110;14.01.2020;0,18x860x873 W/C №87;5 000;;;0;;;;;;;
BIL21894111;15.01.2021;0,17x894x795 W/С №13;14 000;;;0;;;;;;;
VIL21062112;17.01.2021;OT62-ELQ6216A2A;43 000;;;0;;;;;;;
DEV21070113;17.01.2021;OT070-ELQ7033A2A  TH580;32 000;;;0;;;;;;;
BUF21838114;17.01.2021;0,17x838x942 ALU/С;15 000;;;0;;;;;;;
BUF21796115;17.01.2021;0,16x796x925 G/C ;11 000;;;0;;;;;;;
BUF21099116;17.01.2021;OT99-921XQ 0,20 A55B05 ;37 000;;;0;;;;;;;
BUF21942117;18.01.2021;0,16x942x790 ALU/С;9 000;;;0;;;;;;;
BIL21913118;18.01.2021;0,14x913x766 2,0/2,0 TS480;40 000;;;0;;;;;;;
BUF21838119;19.01.2021;0,17x838x942 ALU/С;9 000;;;0;;;;;;;
BUF21070120;19.01.2020;OT070-ELQ7033A2A  TH580;26 000;;;0;;;;;;;
BUF21070121;20.01.2020;OT070-ELQ7013A9A ;10 000;;;0;;;;;;;
BUF21942122;20.01.2020;0,16x942x790 ALU/С;20 000;;;0;;;;;;;
WEI21153123;20.01.2020;OT153-ELQ1542A3A HBI;7 000;;;0;;;;;;;
ZNO21153124;20.01.2020;OT153-ELQ1554A0A;12 000;;;0;;;;;;;
DEV21153125;20.01.2020;OT153-EPQ1555A2A;2 200;pallets should be marked!;;0;;;;;;;
VIL21062126;20.01.2020;OT62-ELQ6216A2A;20 000;;;0;;;;;;;
ZNO21153127;24.01.2021;OT153-ELQ0561A2A HBI;16 000;;;0;;;;;;;
ZNO21070128;24.01.2021;OT070-ELQ7013A11A;10 000;;;0;;;;;;;
ZNO21070129;24.01.2021;OT070-ELQ7013A9A ;20 000;;;0;;;;;;;
BUF21942130;24.01.2021;0,16x942x790 ALU/С;30 000;;;0;;;;;;;
BIL21942131;24.01.2021;0,16x942x790 BLANK;10 000;;;0;;;;;;;
BUF21838132;24.01.2021;0,17x838x942 ALU/С;28 000;;;0;;;;;;;
BUF21099134;24.01.2021;OT99-921XQ 0,20 A55B05 ;24 000;;;0;;;;;;;
BIL21913135;24.01.2021;0,14x913x766 BLANK;30 000;;;0;;;;;;;
BUF21838133;24.01.2021;0,17x838x942 ALU/С;20 000;;;0;;;;;;;
WEI21153136;26.01.2021;OT153-ELQ1542A3A HBI;28 000;;;0;;;;;;;
VIL21062137;26.01.2021;OT153-ELQ0561A2A HBI;30000;;;0;;;;;;;
DEV21070138;26.01.2021;OT070-ELQ7033A2A  TH580;40000;;;0;;;;;;;
BIL21959139;26.01.2021;0,17x959x901 G/C;20000;;;0;;;;;;;
BIL21959140;26.01.2021;0,17x959x901 2W/C;7500;;;0;;;;;;;
BUF21838141;27.01.2021;0,17x838x942 ALU/С;14000;;;0;;;;;;;
BIL21838142;27.01.2021;0,17x838x942 BLANK;25000;;;0;;;;;;;
BUF21877143;28.01.2021;0,18x877x1066 W/G;15000;;;0;;;;;;;
BIL21894144;28.01.2021;0,17x894x795 W/С №13;19000;;;0;;;;;;;
BIL21894145;28.01.2021;0,17x894x944  ТЕСТ;1600;;;0;;;;;;;
BUF21838146;01.02.2021;0,17x838x942 ALU/С;20000;;;0;;;;;;;
BIL21908147;01.02.2021;0,20x908x1112 BLANK;20000;;;0;;;;;;;
DEV21099148;01.02.2021;OT99-ELQ9999A0A_N/A;15000;;;0;;;;;;;
BUF21942149;01.02.2021;0,16x942x790 ALU/С;40000;;;0;;;;;;;
BIL21942150;01.02.2021;0,16x942x790 BLANK;20000;;;0;;;;;;;
BIL21959151;01.02.2021;0,17x959x901 BLANK;20000;;;0;;;;;;;
BIL21959152;01.02.2021;0,17x959x901 2G/G;10000;;;0;;;;;;;
BUF21070153;02.02.2021;OT070-ELQ7013A9A ;30000;;;0;;;;;;;
DEV21070154;02.02.2021;OT070-ELQ7033A2A  TH580;30000;;;0;;;;;;;
ROY21080155;03.02.2021;OT80-ELQ8008A2A;13000;;;0;;;;;;;
ZNO21153156;03.02.2021;OT153-ELQ1554A0A;12000;;;0;;;;;;;
ZNO21153157;03.02.2021;OT153-ELQ0561A2A HBI;5500;;;0;;;;;;;
BUF21942158;03.02.2021;0,16x942x790 ALU/С;19000;;;0;;;;;;;
MOE21062159;04.02.2021;OT62-ELQ6216A2A;14000;;;0;;;;;;;
MOE21062160;04.02.2021;OT62-ELQ6215A6A;11000;;;0;;;;;;;
BUF21838161;04.02.2021;0,17x838x942 ALU/С;38000;;;0;;;;;;;
BIL21838162;04.02.2021;0,17x838x942 BLANK;19000;;;0;;;;;;;
BUF21814163;04.02.2021;0,14x814x925 G/C;20000;;;0;;;;;;;
BIL21913164;04.02.2021;0,14x913x766 BLANK;40000;;;0;;;;;;;
BUF21850165;08.02.2021;0,15x850x925 G/C;50000;;;0;;;;;;;
BUF21814166;08.02.2021;0,14x814x925 G/C;10000;;;0;;;;;;;
BUF21096167;09.02.2021;OT096 0,20 ALU/C HBI;30000;;;0;;;;;;;
MOE21062168;09.02.2021;OT62-ELQ6216A2A;11000;;;0;;;;;;;
BIL21850169;09.02.2021;0,15x850x925 2,0/2,8 TS550-TCLR;11000;;;0;;;;;;;
CFT21816170;10.02.2021;0,27x816x925 2,8/5,6 TH435;10000;;;0;;;;;;;
BUF21942171;10.02.2021;0,16x942x790 ALU/С;9000;;;0;;;;;;;
DAG21070172;11.02.2021;OT070-ELQ7013A9A ;20000;;;0;;;;;;;
DEV21070173;11.02.2021;OT070-ELQ7033A2A  TH580;10000;;;0;;;;;;;
DEV21070174;11.02.2021;OT070-ELQ7022A6A ;14000;;;0;;;;;;;
BIL21838175;11.02.2021;0,17x838x942 BLANK;28000;;;0;;;;;;;
BIL21860176;11.02.2021;0,18x860x873 W/C;24000;;;0;;;;;;;
ZNO21153177;11.02.2021;OT153-ELQ1542A3A HBI;10000;;;0;;;;;;;
ZNO21153178;12.02.2021;OT153-ELQ0561A2A HBI;18000;;;0;;;;;;;
BIL21959179;12.02.2021;0,17x959x901 BLANK;20000;;;0;;;;;;;
BUF21099180;15.02.2021;OT99-921XQ 0,20 A55B05 ;18000;;;0;;;;;;;
BUF21096181;15.02.2021;OT096 0,20 ALU/C HBI;35000;;;0;;;;;;;
BUF21796182;15.02.2021;0,14x796x925 G/C;28000;;;0;;;;;;;
DEV21099183;16.02.2021;OT99-ELQ9991A0A;18700;;;0;;;;;;;
DEV21070184;16.02.2021;OT070-ELQ7033A2A TH550;35000;;;0;;;;;;;
DEV21070185;16.02.2021;OT070-ELQ7033A2A TH550;35000;;;0;;;;;;;
BUF21838186;17.02.2021;0,17x838x942 ALU/С;46000;;;0;;;;;;;
BIL21894187;17.02.2021;0,18x894x795 W/С;28000;;;0;;;;;;;
BIL21894188;17.02.2021;0,17x894x795 W/С №13;7000;;;0;;;;;;;
BIL21838189;17.02.2021;0,17x838x942 BLANK;24000;;;0;;;;;;;
MOE21062190;18.02.2021;OT62-ELQ6216A2A;20000;;;0;;;;;;;
ZNO21153191;18.02.2021;OT153-ELQ1542A3A HBI;5600;;;0;;;;;;;
ZNO21153192;18.02.2021;OT153-ELQ0561A2A HBI;8100;;;0;;;;;;;
BUF21942193;18.02.2021;0,16x942x790 ALU/С;19000;;;0;;;;;;;
BUF21796194;18.02.2021;0,14x796x925 G/C;9000;;;0;;;;;;;
BUF21838195;18.02.2021;0,17x838x942 ALU/С;26000;;;0;;;;;;;
СКО21836196;19.02.2021;0,225x836,5x712 CKO;10000;;;0;;;;;;;
BIL21895197;19.02.2021;0,19x895x907 W/C;33000;;;0;;;;;;;
VIL21062198;22.02.2021;OT62-ELQ6216A2A;20000;;;0;;;;;;;
DEV21070199;22.02.2021;OT070-ELQ7022A6A ;15000;;;0;;;;;;;
BUF21070200;22.02.2021;OT070-ELQ7013A9A ;17000;;;0;;;;;;;
VIL21062201;23.02.2021;OT62-ELQ6216A2A;40000;;;0;;;;;;;
BUF21850202;24.02.2021;0,14x850x925 G/C;20000;;;0;;;;;;;
MOE21062203;25.02.2021;OT62-ELQ6216A2A;28000;;;0;;;;;;;
VAJ21062204;25.02.2021;OT62-ELQ6215A5A;7500;;;0;;;;;;;
DAG21070205;25.02.2021;OT070-ELQ7013A9A ;30000;;;0;;;;;;;
BIL21894206;25.02.2021;0,17x894x795 W/С №13;18000;;;0;;;;;;;
BIL21920207;25.02.2021;0,16x920x778 BLANK;55000;;;0;;;;;;;
BUF21850208;25.02.2021;0,14x850x925 G/C;20000;;;0;;;;;;;
