Назва;Номенклатура ОТ (1С);Кінцевий продукт;Код прод. 1С;Формат порізки;Формат порізки (1С);Код поріз.  1С;розкрій;піддон;пачка;№Spec;Лакування;Прогін1;Прогін2;Прогін3;Прогін4;Формат Лакування (1С);Код лак.1С;SAP code;Coil;IC codes of coils;for barcode
OT070-ELQ7013A11A;OT070-ELQ7013A11A-15VK05-993DE-170TH580S2828-HBI-90300;OT070-ELQ7013A11A;fff009956;0,17x922x868 2,8/2,8 TH580;M-922-868-170TH580S2828-HBI;fff009746;СКРОЛЛ;884х850;1500;70-1 A;BPANI W/C 15V;PL1019-34;DE4488-3LV;;;L-922-868-170TH580S2828-HBI-15VK05;fff009957;48015773;C-922----170TH580S2828- HBI;fff009747;0.17-922-868-TH580-S2828-HBI
OT070-ELQ7013A5A;OT070-ELQ7013A5A-15VK05-993DE-170TH580S2828-HBI-88160;OT070-ELQ7013A5A;fff010614;0,17x922x868 2,8/2,8 TH580;M-922-868-170TH580S2828-HBI;fff009746;СКРОЛЛ;884х850;1500;№18;BPANI W/C 15V;PL1019-34;DE4488-2HV;;;L-922-868-170TH580S2828-HBI-15VK05;fff009957; ;C-922----170TH580S2828- HBI;fff009747;0.17-922-868-TH580-S2828-HBI
OT070-ELQ7013A9A ;OT070-ELQ7013A9A-07CK05-993DE-170TH580S2828-HBI-90300;OT070-ELQ7013A9A ;fff010217;0,17x922x868 2,8/2,8 TH580;M-922-868-170TH580S2828-HBI;fff009746;СКРОЛЛ;884х850;1500;70-3 A;G/C;PL1019-34;816361;;;L-922-868-170TH580S2828-HBI-07CK05;fff009970;48015754;C-922----170TH580S2828- HBI;fff009747;0.17-922-868-TH580-S2828-HBI
OT070-ELQ7022A6A ;OT070-ELQ7022A6A-W14K05-993DE-170TH580S2828-HBI-90300;OT070-ELQ7022A6A ;fff009846;0,17x922x868 2,8/2,8 TH580;M-922-868-170TH580S2828-HBI;fff009746;СКРОЛЛ;884х850;1500;70-5 A;2W/C;PL1019-34;818062;818062;;L-922-868-170TH580S2828-HBI-W14K05;fff009847;48015775;C-922----170TH580S2828- HBI;fff009747;0.17-922-868-TH580-S2828-HBI
OT070-ELQ7022A7A ;OT070-ELQ7022A7A-26EK05-993DE-170TH580S5628-USK-90300;OT070-ELQ7022A7A ;fff010253;0,17x922x868 5,6/2,8 TH580;M-922-868-170TH580S5628-USK;fff009165;СКРОЛЛ;884х850;1500;№35;BPANI W/C 26E;PL1019-34;16S61EG;16S61EG;DE5449-5;L-922-868-170TH580S5628-USK-26EK05;fff010254;48015776;C-922---170TH580S5628-USK;fff008630;0.17-922-868-TH580-S5628-USK
OT070-ELQ7033A2A TH550;OT070-ELQ7033A2A-08CB05-993DE-170TH550F2828-HBI-90300;OT070-ELQ7033A2A TH550;fff010926;0,17x922x868 2,8/2,8 TH550;M-922-868-170TH550F2828-HBI;fff009814;СКРОЛЛ;884х850;1500;70-2 B;G/G;816314;816361;;;L-922-868-170TH550F2828-HBI-08CB05;fff010770;48015778;C-922---170TH550F2828-HBI;fff009813;0.17-922-868-TH550-S2828-HBI
OT070-ELQ7033A2A  TH580;OT070-ELQ7033A2A-08CB05-993DE-170TH580S2828-HBI-90300;OT070-ELQ7033A2A  TH580;fff009749;0,17x922x868 2,8/2,8 TH580;M-922-868-170TH580S2828-HBI;fff009746;СКРОЛЛ;884х850;1500;70-2 A;G/G;816314;816361;;;L-922-868-170TH580S2828-HBI-08CB05;fff009748;48015778;C-922----170TH580S2828- HBI;fff009747;0.17-922-868-TH580-S2828-HBI
OT070-ELQ7040A0A;OT070-ELQ7040A0A-А55K05-993DE-170TH580S2828-HBI-90300;OT070-ELQ7040A0A;fff010554;0,17x922x868 2,8/2,8 TH580;M-922-868-170TH580S2828-HBI;fff009746;СКРОЛЛ;884х850;1500;№81;ALU/C;PL1019-34;28S30WB-1;;;L-922-868-170TH580S2828-HBI-A55K05;fff010553;48016765;C-922----170TH580S2828- HBI;fff009747;0.17-922-868-TH580-S2828-HBI
OT096 0,20 ALU/C HBI;OT096-A07K05-Argo-200TH550S2828-HBI-39000;OT096 0,20 ALU/C HBI;fff010616;0,20x808x908 2,8/2,8 TH550;M-808-908-200TH550S2828-HBI;fff010618;СКРОЛЛ;900х771;1600;96-1;ALU/C;PL1019-34;28S30WB-1;;;L-808-908-200TH550S2828-HBI-A07K05;fff010617;48012502;С-808---200TH550S2828-HBI;fff010619;0.20-808-908-TH550-S2828-HBI
OT153-ELQ0561A2A HBI;OT153-ELQ0561A2A-W18B55-727LW-270TH435S2828-HBI-12800;OT153-ELQ0561A2A HBI;fff010191;0,27x950x876 2,8/2,8 TH435;M-950-876-270TH435S2828-HBI;fff010185;СКРОЛЛ;920х935;1100;"153-2
";2 W/G;PL1014-59;818062;818062;;L-950-876-270TH435S2828-HBI-W18B55;fff010186;48003111;C-950---270TH435S2828-HBI;fff010184;0.27-950-876-TH435-S2828-HBI
OT153-ELQ1542A3A HBI;OT153-ELQ1542A3A-20EB05-727LW-270TH435F5628-HBI-14400;OT153-ELQ1542A3A HBI;fff010610;0,27x950x876 5,6/2,8 TH435 HBI;M-950-876-270TH435F5628-HBI;fff010200;СКРОЛЛ;920х935;1100;153-1 A;W/G;PL1014-59;819059;816733;;L-950-876-270TH435F5628-HBI-20EB05;fff010202;48004837;C-950---270TH435F5628-HBI;fff010196;0.27-950-876-TH435-F5628-HBI
OT153-ELQ1554A0A;OT153-ELQ1554A0A-20EB05-727LW-270TH435F5628-HBI-12800;OT153-ELQ1554A0A;fff010611;0,27x950x876 5,6/2,8 TH435 HBI;M-950-876-270TH435F5628-HBI;fff010200;СКРОЛЛ;920х935;1100;153-1 A;W/G;PL1014-59;819059;816733;;L-950-876-270TH435F5628-HBI-20EB05;fff010202;48004206;C-950---270TH435F5628-HBI;fff010196;0.27-950-876-TH435-F5628-HBI
OT153-EPQ1555A2A;OT153-EPQ1555A2A-727LW-270TH435S2828-HBI-14400;OT153-EPQ1555A2A;fff010823;0,27x950x876 2,8/2,8 TH435;M-950-876-270TH435S2828-HBI;fff010185;СКРОЛЛ;920х935;1100;435241;P/20E;819059;816733;48488;320 187;P-950-876-270TН435S2828-HBI-20E-435241-BIL;fff010836; ;C-950---270TН435S2828-HBI;fff010184;0.27-950-876-TH435-S2828-HBI
OT62-ELQ6215A6A;OT62-ELQ6215A6A-26EK05-975HP-170TH435S2828-HBI-144000;OT62-ELQ6215A6A;fff011027;0,17x954x848 2,8/2,8 TH435;M-954-848-170TH435S2828-HBI;fff008459;СКРОЛЛ;830x917;1500;№82;BPANI 2W/C 26E;PL1019-34;16S61EG;16S61EG;DE5449-5;L-954-848-170TH435S2828-HBI;fff011040;48013486;C-954---170TH435S2828-HBI;fff008458;0.17-954-848-TH435-S2828-HBI
OT62-ELQ6216A2A;OT62-ELQ6216A2A-15VK05-975HP-170TH435S2828-HBI-144000;OT62-ELQ6216A2A;fff008371;0,17x954x848 2,8/2,8 TH435;M-954-848-170TH435S2828-HBI;fff008459;СКРОЛЛ;830x917;1500;№55;W/C 15V;PL1019-34;DE4488-2HV;;;L-954-848-170TH435S2828-HBI-15VK05;fff008461;48013808;C-954---170TH435S2828-HBI;fff008458;0.17-954-848-TH435-S2828-HBI
OT70-ELQ7022A5A;OT70-ELQ7022A5A-20ЕК05-993DE-170TH580S5628-USK-90300;OT70-ELQ7022A5A;fff009204;0,17x922x868 5,6/2,8 TH580;M-922-868-170TH580S5628-USK;fff009165;СКРОЛЛ;884х850;1500;№21  ;BPANI W/C 20E;PL1019-34;16S61EG;DE5449-5;;L-922-868-170TH580S5628-USK-20ЕК05;fff009203;48015774;C-922---170TH580S5628-USK;fff008630;0.17-922-868-TH580-S5628-USK
OT70-ELQ7024A5A;OT70-ELQ7024A5A-26EK05-993DE-180TH550S2856-USK-90300;OT70-ELQ7024A5A;fff008922;0,18x922x868 5,6/2,8 TH550;M-922-868-180TH550F2856-USK;fff009018;СКРОЛЛ;884х850;1500;№66 ;BPANI 2W/C 26E;PL1019-34;16S61EG;16S61EG;DE5449-5;L-922-868-180TH550S5628-USK-26EK05;fff009017; ;C-922---180TH550S5628-USK;fff008631;0.18-922-868-TH550-F2856-USK
OT96 0,20 G/C;OT96C65K05-ARGO-200TH550S2828-HBI-39000;OT96 0,20 G/C;fff010977;0,20x808x908 2,8/2,8 TH550;M-808-908-200TH550S2828-HBI;fff010618;СКРОЛЛ;900х771;1600;№75 ;G/C;PL1019-34;11064;;;L-808-908-200TH550S2828-HBI-C65K05;fff010978; ;С-808---200TH550S2828-HBI;fff010619;0.20-808-908-TH550-S2828-HBI
OT99-921XQ 0,18 G/G;OT99-921XQ-180TH550S2828-HBI-C65B05-29120;OT99-921XQ 0,18 G/G;fff007837;0,18x838x941,7 2,8/2,8 TH550;M-838-941,7-180TH550S2828-HBI;fff007881;СКРОЛЛ;917x813;1500;№63-1;G/G;PL1014-59;11064;;;L-838-941,7-180TH550S2828-HBI-C65B05;fff008336;49600246;C-838---180TH550S2828-HBI;fff005454;0.18-838-941.7-TH550-S2828-HBI
OT99-921XQ 0,20 A55B05 ;OT99-921XQ-200TH550S2828-HBI A55B05-37856;OT99-921XQ 0,20 A55B05 ;fff010636;0,20x838x941, 2,8/2,8 TH550;M-838-941,7-200TH550S2828-HBI;fff005881;СКРОЛЛ;917x813;1500;99-C-1;ALU/G;28S30WB-1;PL1014-59;;;L-838-941,7-200TH550S2828-HBI-A55B05;fff010621;49600248;C-838---200TH550S2828-HBI;fff008623;0.20-838-941.7-TH550-S2828-HBI
OT99-921XQ 0,20 ALU/G;OT99-921XQ-200TH550S2828-HBI-A75B05-37856;OT99-921XQ 0,20 ALU/G;fff008328;0,20x838x941, 2,8/2,8 TH550;M-838-941,7-200TH550S2828-HBI;fff005881;СКРОЛЛ;917x813;1500;99-С-2 A;ALU/G;28S30WB-1;PL1014-59;;;L-838-941,7-200TH550S2828-HBI-A75B05;fff008335;49600248;C-838---200TH550S2828-HBI;fff008623;0.20-838-941.7-TH550-S2828-HBI
OT99-921XQ 0,22 ALU/G;OT99-921XQ-220TH550S2828-CHINA-A75B05-37856;OT99-921XQ 0,22 ALU/G;fff009973;0,22x838x941,7 2,8/2,8 TH550;M-838-941,7-220TH550S2828-CHINA;fff008636;СКРОЛЛ;917x813;1500;№68;ALU/G;28S30WB-1;PL1014-59;;;L-838-941,7-220TH550S2828-CHINA-A75B05;fff009362; ;C-838---220TH550S2828-CHINA;fff005458;0.22-838-941.7-TH550-S2828-CHINA
OT99-921XQ 0,22 ALU/G;OT99-921XQ-220TH550S2828-HBI-A75B05-37856;OT99-921XQ 0,22 ALU/G;fff008329;0,22x838x941,7 2,8/2,8 TH550;M-838-941,7-220TH550S2828-HBI;fff008330;СКРОЛЛ;917x813;1500;№64 ;ALU/G;28S30WB-1;PL1014-59;;;L-838-941,7-220TH550S2828-HBI-A75B05;fff008331; ;C-838---220TH550S2828-HBI;fff010425;0.22-838-941.7-TH550-S2828-HBI
OT99-EBQ0556B2A;OT99-EBQ0556B2A-L04K04-716SU-180TH415S2020-USK-42500;OT99-EBQ0556B2A;fff010172;0,18x838x826 2,0/2,0 TH415;M-838-826-180TH415S2020-USK;UA0001796;СКРОЛЛ;820x870;1700;№108;C/C;PL1019-34;PL1019-34;;;L-838-826-180TH415S2020-USK-L04K04;UA0001797;48016589; ;;0.18-838-826-TH415-S2020-USK
OT99-ELQ0730A0A;OT99-ELQ0730A0A-D10K04-716SU-180TH415S2020-USK-42500;OT99-ELQ0730A0A;fff010671;0,18x838x826 2,0/2,0 TH415;M-838-826-180TH415S2020-USK;UA0001796;СКРОЛЛ;820x870;1700;№107;2G/C;PL1019-34;PPG2092-347/A ;PPG2092-347/A ;;L-838-826-180TH415S2020-USK-D10K04;UA0001798;47001445; ;;0.18-838-826-TH415-S2020-USK
OT99-ELQ9999A0A_ ;OT99-ELQ9999A0A---K05-715SU-250TH415F7575-USK-42500 Hollande;OT99-ELQ9999A0A_ ;fff007544;0,25x838x826 7,5/7,5 TH415;M-838-826-250TH415F7575-USK-IMP;fff007549;СКРОЛЛ;820x870;;№ 52;P/C Hollande;PL1019-34;;;;L-838-826-250TH415F7575-USK---K05 Hollande;fff007551;48003644; ;;0.25-838-826-TH415-F7575-USK-IMP
OT99-921XQ 0,20 2W/G;OT99-W14B05-921XQ-200TH550S2828-HBI-37856;OT99-921XQ 0,20 2W/G;fff010976;0,20x838x941, 2,8/2,8 TH550;M-838-941,7-200TH550S2828-HBI;fff005881;СКРОЛЛ;820х942;1500;№83;2W/G;PL1014-59;818062;818062;;L-838-941,7-200TH550S2828-HBI-W14B05;fff010979; ;C-838---200TH550S2828-HBI;fff008623;0.20-838-941.7-TH550-S2828-HBI
OT070-ELQ7013A10A;Дно 70 ELQ7013A10 A G/C х;OT070-ELQ7013A10A;fff008178;0,17x922x868 2,8/2,8 TH580;M-922-868-170TH580S2828-HBI;fff009746;СКРОЛЛ;884х850;1500;70-3;G/C;PL1019-34;816361;;;L-922-868-170TH580S2828-HBI-07CK05;fff009970; ;C-922----170TH580S2828- HBI;fff009747;0.17-922-868-TH580-S2828-HBI
OT80 W/C IC;Дно 80 0,18 мм W/C  IC х;OT80 W/C IC;fff007811;0,18x869x881 2,0/2,8 TH550;M-869-881-180TH550F2820-HBI;fff011070;СКРОЛЛ;903х844;1500;№15;W/C;PL1019-34;;;;L-869-881-180TH550F2820-HBI-V14K06;fff011076; ;C-869---180TH550F2820-HBI;fff011063;0.18-869-881-TH550-F2820-HBI
OT80 W/C 20E IC;Дно 80 0,18 мм W/C 20E IC х;OT80 W/C 20E IC;fff008107;0,18x869x881 2,0/2,8 TH550;M-869-881-180TH550F2820-HBI;fff011070;СКРОЛЛ;903х844;1500;№50;W/C 20Е;PL1019-34;16S61EG;DE5449-5;;Жерсть 0,18*869*881 TH550 2,0/2,8 W/C  20Е х;fff008109; ;C-869---180TH550F2820-HBI;fff011063;0.18-869-881-TH550-F2820-HBI
OT80 0,18 W/C;Дно 80 0,18 мм W/C х;OT80 0,18 W/C;fff004114;0,18x869x881 2,0/2,8 TH550;M-869-881-180TH550F2820-HBI;fff011070;СКРОЛЛ;903х844;1500;№15;W/C;PL1019-34;;;;L-869-881-180TH550F2820-HBI-V14K06;fff011076; ;C-869---180TH550F2820-HBI;fff011063;0.18-869-881-TH550-F2820-HBI
OT80-ELQ8008A1A;Дно 80 ELQ8008A1A W/C BPANI 20E х;OT80-ELQ8008A1A;fff007924;0,18x869x881 5,6/2,8 TH620;M-869-881-180TH620F5628-HBI ;fff011268;СКРОЛЛ;903х844;1500;№49;W/C 20Е;PL1019-34;16S61EG;DE5449-5;;Жерсть 0,18*869*881 TH620 2,0/2,8 W/C BPANI 20Е х;fff008007; ;С-869---180TH620F5628-HBI;fff011063;0.18-869-881-TH620-F5628-HBI 
OT80-ELQ8008A2A;OT080-ELQ8008A2A-26EK05-121ST-180TH620F5628-HBI-62400;OT80-ELQ8008A2A;fff011270;0,18x869x881 5,6/2,8 TH620;M-869-881-180TH620F5628-HBI ;fff011268;СКРОЛЛ;903х844;1500;№33;W/C BPANI 26Е;PL1019-34;16S61EG;16S61EG;DE5449-5;L-869-881-180TH620F5628-HBI-26EK05;fff011269;48011521;С-869---180TH620F5628-HBI;fff011063;0.18-869-881-TH620-F5628-HBI 
OT96 0,18 G/G;OT096-C65B05-ARGO-180TH550S2828-HBI-39000;OT96 0,18 G/G;UA0001020;0,18x808x908 2,8/2,8 TH550;M-808-908-180TH550S2828-HBI;fff011084;СКРОЛЛ;900х771;1600;№94;G/G;PL1014-59;11064;;;L-808-908-180TH550S2828-HBI-C65B05;fff011085;49600863;C-808-----180TH550S2828-HBI;ффф011064;0.18-808-908-TH550-S2828-HBI
OT96 0,19 G/C;Дно 96 0,19 мм TH620 G/C х;OT96 0,19 G/C;fff007615;0,19x808x908 2,8/2,8 TH620;Жерсть 0,19*808*908 TH620 28/28 біла (лист) х;fff007613;СКРОЛЛ;900х771;1600;;G/C;;;;;Жерсть 0,19*808*908 TH620 28/28 G/C х;fff007614; ; ;;
OT96 0,20  ALU/G;Дно 96 0,20мм ALU/Gх CHINA;OT96 0,20  ALU/G;fff008824;0,20x808x908 2,8/2,8 TH550;Жерсть 0,20*808*908 TH550 28/28 біла (лист) х;fff006224;СКРОЛЛ;900х771;1600;;ALU/G;;;;;;;49600880;С-808---200TH550S2828-HBI;fff010619;
OT96 0,20  ALU/G 28/28;OT096-A07B05-ARGO-200TH550S2828-HBI-38850;OT96 0,20  ALU/G;;0,20x808x908 2,8/2,8 TH550;M-808-908-200TH550S2828-HBI;fff010618;СКРОЛЛ;900х771;1600;№123;ALU/G;PL1014-59;28S30WB-1;;;L-808-908-200TH550S2828-HBI-A07B05;UA0004320;48017996;С-808---200TH550S2828-USK;UA0000570;0.20-808-908-TH550-S2828-HBI
OT96 0,20  W/G;OT96-V14B05-ARGO-200TH550S2828-HBI-39000;OT96 0,20  W/G;fff011271;0,20x808x908 2,8/2,8 TH550;M-808-908-200TH550S2828-HBI;fff010618;СКРОЛЛ;900х771;1600;№56;W/G;PL1014-59;818062;;;L-808-908-200TH550S2828-HBI-V14B05;fff011083; ;С-808---200TH550S2828-HBI;fff010619;0.20-808-908-TH550-S2828-HBI
OT96 0,22 ALU/G;Дно 96 0,22мм ALU/G x ;OT96 0,22 ALU/G;fff007536;0,22x808x908 2,8/2,8 TH550;Жерсть 0,22*808*908 TH550 28/28 біла (лист) х;fff006225;СКРОЛЛ;900х771;1600;№41;ALU/G;;;;;Жерсть 0,22х808х908 TH550 2,8/2,8 ALU/G x;fff007539; ; ;;
0,16x796x925 W/C BPANI;L-796-925-160TH520F2820-RAS-20EK05;73/70x83,4 W/K;fff011059;0,16x796x925 2,8/2,0 TH520;T-796-925-160TH520F2028-RAS;fff010861;ПРЯМ;900х771;1700;№30;BPANI W/C;PL1019-34;16S61EG;DE5449-5;;L-796-925-160TH520F2820-RAS-20EK05;fff011059; ;C-796---160TH520F2820-RAS;fff011060;0.16-796-925-TH520-F2028-RAS
0,16x796x925 G/C ;L-796-925-160TH520F2820-RAS-C06K05;73/70x80,4 G/K;fff011119;0,16x796x925 2,8/2,0 TH520;T-796-925-160TH520F2028-RAS;fff010861;ПРЯМ;900х771;1700;№85;G/C;PL1019-34;101 597;;;L-796-925-160TH520F2820-RAS-C06K05;fff011119;41210925;C-796---160TH520F2820-RAS;fff011060;0.16-796-925-TH520-F2028-RAS
0,17x838x942 ALU/С;L-838-942-170TH550F2820-HBI-A55K05;99/96x48,5 Ap/K;fff011055;0,17x838x942 2,0/2,8 TH550;T-838-942-170TH550F2820-HBI;fff011056;ПРЯМ;917х813;1500;BUF-8 A;ALU/С;28S30WB-1;PL1019-34;;;L-838-942-170TH550F2820-HBI-A55K05;fff011055;41202277;С-838---170TH550S2828-HBI;;0.17-838-942-TH550-F2820-HBI
0,15x850x925 G/C;L-850-925-150TS550F2820-USK-C06K05;73/70x57 G/K;fff008921;0,15x850x925 2,0/2,8 TS550;T-850-925-150TS550F2028-USK;fff008920;ПРЯМ;900х825;1600;№71  ;G/C;PL1019-34;101 597;;;L-850-925-150TS550F2820-USK-C06K05;fff008921;41202274; ;;0.15-850-925-TS550-F2028-USK
0,18x860x873 W/C;L-860-873-180TH550F2820-HBI-V14K06;OT80 0,18 W/C;fff011001;0,18x860x873 2,8/2,0 TH550;M-860-873-180TH550F2820-HBI;fff009505;СКРОЛЛ;903х844;1500;№61;W/C;PL1019-34;818062;;;L-860-873-180TH550F2820-HBI-V14K06;fff011001; ;С-860---180TH550F2820-HBI;fff009115;0.18-860-873-TH550-F2820-HBI
0,18x877x1066 W/G;L-877-1066-180TS275S2828-USK-21EB05;99x33 W/G;UA0003686;0,18x877x1066 2,8/2,8 TS275;T-877-1066-180TS275S2828-USK;fff010364;ПРЯМ;1041х852;1100;BUF-13 A;W/G;PL1014-59;DE4488-3LV;DE5449-4;;L-877-1066-180TS275S2828-USK-21EB05;UA0003686;41212141;С-877---180TS275S2828-USK;fff010346;0.18-877-1066-TS275-S2828-USK
